Id;DataAcesso;Hash;DataExpiracao;Cliente;TipoAcesso;LoginAtendente;TipoSessao;Origem
559;2018-06-27 01:04:09.327;339645cfd04f79dd9d25718bde3199686a7ba968eb66f114050d0356e814ed91b67171175bc67f43253638e50db13f3a6d490d13829147352ac297934d0c7f91;2018-06-27 02:34:10.460;111.111.111-31;1;;;100000016
560;2018-06-27 01:05:14.940;ab4e88e24465da67388a72c3c58c83d88d6d3b296e221de944e21fde6b8476119d15c2f523af1c158bc5b28f6dde69de11b3e4cbeb5b8668411b9640f899ef3d;2018-06-27 02:44:10.643;111.111.111-32;1;;;100000016
561;2018-06-27 01:09:39.820;1528be4e70ff15be3d1699b304a64f885a677c5788cfa4ca75c7efbfcd2371ddbe5dbb6a7248d1a041274b9b5943ffbfd6bb98f2e0e0db28e6c8a32655782ef0;2018-06-27 02:41:45.263;111.111.111-33;1;;;100000016
562;2018-06-27 01:11:04.393;69d28a8528f719e9764732314e2de19d4df288c667108c909d5223f28848d08951a9afe3381da0883ddd35e4a67e3d889c639a95aa98d8a9ad953570c054032f;2018-06-27 02:41:05.770;111.111.111-34;1;;;100000016
563;2018-06-27 01:15:09.880;d492fc4ee59698cbd4865a1b1130a3f59e6e89dee7d1633c471bdc76b3d8e54a2bcc1189cc1e67d2661ed256b94665bdbd5e13874edcecea488293fc00fd34bd;2018-06-27 02:45:43.997;111.111.111-35;1;;;100000016
564;2018-06-27 01:16:17.017;733a6f5e15f44913a05a7a6852998ebdd5904dcf994e01da7557f1611bcc429f6dca8869039c4f9d6002ac83ee7c18982303cbd1f064532506d2148d38aa843b;2018-06-27 02:46:18.083;111.111.111-36;1;;;100000016
565;2018-06-27 01:27:19.103;d4db29e17cba1a231e9cc0692dcda08c9f4a8e0fb3496196f1a1ecd4028511bf81904917c7296ca7307b2b036e9f8389e4118e2ee50afbed1c11eee07d5dd729;2018-06-27 02:57:22.003;111.111.111-37;1;;;100000016
566;2018-06-27 01:59:13.413;eeca12a7864e037ffcceff249144af82a29a55f1a72f54c02c500969d0ed1702c873306725edde07ea187965f949cd791f5cab82c19a9c08eb46bcdc4378c5ce;2018-06-27 03:37:56.360;111.111.111-38;1;;;100000016
567;2018-06-27 02:08:06.963;1f5990c8c457201079f1a5a068981702206f3099c49f697551a07821f4989dfe2e650184233b3700933776b48bfe4a24083b01a39bb648ec1ef8025e2f785de6;2018-06-27 04:02:47.720;111.111.111-39;1;;;100000016
568;2018-06-27 03:05:35.363;d46e12ab8618f92509dc1a244c8d129fec0bfbdf3cd2f4cdbbac70c025083be4b34792129bf0380778d8002bbc1ba3255b7178f1bd097a3a7c6f56ee9d00b7b8;2018-06-27 04:37:50.433;111.111.111-40;1;;;100000016
569;2018-06-27 03:07:54.157;ffbad7c8bf55bd003ae8897ec6150b6359a33bd4e4d0253459796f14623b22f29bf1a1a8293a4548f3ddee28a21c6c3e173e47f29224289411d9f76d92aae61a;2018-06-27 04:56:05.047;111.111.111-41;1;;;100000016
570;2018-06-27 03:27:46.237;12955ab8b1a93b9ab602fc002e5db663082afd44a472542ed8f1d3fb739106919a6388257da326a970a2b25e83268f425f8eda87c967403f41ddcece96bb599f;2018-06-27 04:59:18.430;111.111.111-42;1;;;100000016
571;2018-06-27 03:29:20.770;85851909538f42332abb63804c7448f5ebbcfff6dea1d9ec1135ac901349b0e7e2bbde06eb04e68c102f10d414641cb418b01135d2335d8e2ecf8cbf7ac55041;2018-06-27 04:59:22.153;111.111.111-43;1;;;100000016
572;2018-06-27 03:29:43.790;bb0d22be7c5840bac2f3ba608bc8ce97f900c58b01828342b18e3de7e3d942742a4009854647a9b53bea4c14c5ec17b9d9b8bb565c5034090bb33feedf11ecfb;2018-06-27 05:00:27.263;111.111.111-44;1;;;100000016
573;2018-06-27 03:31:15.100;a0e711eaf282663279c9065a7ee45746a0eac2cd7669999ff20459e38681f01e5b4884f2944c172b7ff8469c4c932b059b5fbaaa43274f31e81aeee82164fd9a;2018-06-27 05:01:33.150;111.111.111-45;1;;;100000016
574;2018-06-27 03:43:35.723;aca2c5529fe9ba4a903a9b1a8d07f4c0bed00cfa8549185d1d15768f1b5e5e4cc39af3dce303adf306697826faa4f7da49708e060edc23b60aed1af002e006ca;2018-06-27 05:18:11.890;111.111.111-46;1;;;100000016
575;2018-06-27 03:44:56.540;73f45a88f054de9f20975da4cf418b4759ffc0b31f1c9f4477c4206d35579312755205c14d3d6458a994c8372bb2e2442f6b66eb0ac648c5c5b1e816e1ea73f6;2018-06-27 05:14:56.540;111.111.111-47;1;;;100000016
576;2018-06-27 03:48:25.930;d01329c0d1413a9ef4595a519e413537552eedb6b1366384081498fef6615a2ba7e3d4fa0759a9f91c2c6514c96ffba1c67f2c9153deb4ff35a14e21caafe499;2018-06-27 05:38:31.440;111.111.111-48;1;;;100000016
577;2018-06-27 04:45:29.537;5ea61daed494bafbbc71397aa1be5fd1591ad271a79aa3699e0915000dd5ffabf5f04834812b25aba73206b7ec0b31843ceb320e8b57eb6cc59dd9b1a294c690;2018-06-27 06:17:57.570;111.111.111-49;1;;;100000016
578;2018-06-27 04:48:00.487;19775d84f58552ad9b8c5173543b1b4066e44f74f21ac4f6c46f288c9e088e2ddbbc599092a4958aa4e303e7d519ef7e934ba87da505bf8128516300ed34c805;2018-06-27 06:18:00.487;111.111.111-50;1;;;100000016
579;2018-06-27 04:48:24.057;d5d74e44f875ff7a30dd1f625681879a0f25a982cee3492700ea38bfda1b7c191b730e1ed4707f157b36665afb81df958d13ef2529b125f35a0ccdbbf1885ae2;2018-06-27 06:18:26.167;111.111.111-51;1;;;100000016
